101, 2600, 578357
201, 10200, 483877
301, 22800, 873271
401, 40400, 1399709
501, 63000, 683101
601, 90600, 720531
701, 123200, 932133
801, 160800, 1229763
901, 203400, 1517734
1001, 251000, 1865171
1101, 303600, 1880868
1201, 361200, 1494492
1301, 423800, 1748353
1401, 491400, 2073453
1501, 564000, 2306486
1601, 641600, 2266037
1701, 724200, 2443528
1801, 811800, 2710068
1901, 904400, 3003774
2001, 1002000, 3328572
2101, 1104600, 3668160
2201, 1212200, 4027973
2301, 1324800, 4400465
2401, 1442400, 4858683
2501, 1565000, 5212157
2601, 1692600, 5709315
2701, 1825200, 6181418
2801, 1962800, 6838862
2901, 2105400, 7030842
3001, 2253000, 7392165
3101, 2405600, 7945166
3201, 2563200, 8438098
3301, 2725800, 8903862
3401, 2893400, 9657297
3501, 3066000, 10000809
3601, 3243600, 10871061
3701, 3426200, 11158429
3801, 3613800, 12409323
3901, 3806400, 12227907
4001, 4004000, 13063143
4101, 4206600, 13931886
4201, 4414200, 15030946
4301, 4626800, 15008609
4401, 4844400, 15932893
4501, 5067000, 17001466
4601, 5294600, 17036179
4701, 5527200, 18988588
4801, 5764800, 19312177
4901, 6007400, 19432619
5001, 6255000, 20570014
5101, 6507600, 21702882
5201, 6765200, 22149025
5301, 7027800, 23032861
5401, 7295400, 24140675
5501, 7568000, 24728993
5601, 7845600, 25824733
5701, 8128200, 26575449
5801, 8415800, 27585160
5901, 8708400, 29120100
6001, 9006000, 30115020
6101, 9308600, 30718430
6201, 9616200, 31670788
6301, 9928800, 32589036
6401, 10246400, 33388351
6501, 10569000, 33854116
6601, 10896600, 35441278
6701, 11229200, 37179066
6801, 11566800, 37311883
6901, 11909400, 39084686
7001, 12257000, 40144203
7101, 12609600, 41996999
7201, 12967200, 43027536
7301, 13329800, 44343631
7401, 13697400, 44307106
7501, 14070000, 45680252
7601, 14447600, 48311234
7701, 14830200, 48821673
7801, 15217800, 49161261
7901, 15610400, 50900559
8001, 16008000, 52091986
8101, 16410600, 54660786
8201, 16818200, 54614300
8301, 17230800, 56855886
8401, 17648400, 58683024
8501, 18071000, 61718795
8601, 18498600, 60732630
8701, 18931200, 62154375
8801, 19368800, 64270691
8901, 19811400, 64547191
9001, 20259000, 66420211
9101, 20711600, 67544023
9201, 21169200, 69600873
9301, 21631800, 69965516
9401, 22099400, 72877224
9501, 22572000, 73136518
9601, 23049600, 74411561
9701, 23532200, 77521890
9801, 24019800, 79052907
9901, 24512400, 79610738
10001, 25010000, 81178279
